senators,disbursement_amount
"Sen. Merkley, Jeff [D-OR]*",-4000.0
"Sen. Kaine, Tim [D-VA]*",1000.0
"Sen. Leahy, Patrick J. [D-VT]*",1000.0
"Sen. Heinrich, Martin [D-NM]*",2000.0
"Sen. King, Angus S., Jr. [I-ME]",2000.0
"Sen. Peters, Gary C. [D-MI]*",2000.0
"Sen. Rosen, Jacky [D-NV]*",2000.0
"Sen. Stabenow, Debbie [D-MI]*",2000.0
"Sen. Duckworth, Tammy [D-IL]*",2500.0
"Sen. Tester, Jon [D-MT]*",3000.0
"Sen. Manchin, Joe, III [D-WV]",4000.0
"Sen. Padilla, Alex [D-CA]*",4500.0
"Sen. Schumer, Charles E. [D-NY]*",5000.0
"Sen. Schatz, Brian [D-HI]*",6000.0
"Sen. Wyden, Ron [D-OR]*",6000.0
"Sen. Duckworth, Tammy [D-IL]*",7500.0
